[2021-11-15 23:57:37,225]: 127.0.0.1:8888 "DELETE /dhruv.png HTTP/1.1"401 Unauthorised Self_Testing
[2021-11-15 23:57:37,225]: 127.0.0.1:8888 "DELETE HTTP/1.1 dhruv.png"401 Unauthorised 
[2021-11-15 23:57:37,227]: 127.0.0.1:8888 "COPY /arya.txt HTTP/1.1"405 Method Not Allowed Self_Testing
[2021-11-15 23:57:37,228]: 127.0.0.1:8888 "GET /s.txt HTTP/2.0"505 Version Not Supported Self_Testing 
[2021-11-15 23:57:37,228]: 127.0.0.1:8888 "COPY HTTP/1.1 arya.txt"405 Method Not Allowed 
[2021-11-15 23:57:37,228]: 127.0.0.1:8888 "GET HTTP/2.0 s.txt"505 Version Not Supported 
[2021-11-15 23:57:37,229]: 127.0.0.1:8888 "POST /trust(1).txt HTTP/1.1"200 OK Self_Testing 
[2021-11-15 23:57:37,229]: 127.0.0.1:8888 "POST HTTP/1.1 trust(1).txt"200 OK 
[2021-11-15 23:57:37,543]: 127.0.0.1:8888 "PUT /nishal.txt HTTP/1.1"201 created Self_Testing 
[2021-11-15 23:57:37,544]: 127.0.0.1:8888 "PUT HTTP/1.1 nishal.txt"201 created 
[2021-11-15 23:59:01,134]: 127.0.0.1:8888 "GET HTTP/1.1 dj.mp3"200 OK 
[2021-11-15 23:59:01,150]: 127.0.0.1:8888 "GET /dj.mp3 HTTP/1.1"200 OK 127.0.0.1:8888 
[2021-11-15 23:59:01,648]: 127.0.0.1:8888 "GET HTTP/1.1 try.mp4"200 OK 
[2021-11-15 23:59:01,649]: 127.0.0.1:8888 "GET /try.mp4 HTTP/1.1"200 OK 127.0.0.1:8888 
[2021-11-15 23:59:01,745]: 127.0.0.1:8888 "GET HTTP/1.1 try.mp4"200 OK 
[2021-11-15 23:59:01,745]: 127.0.0.1:8888 "GET /try.mp4 HTTP/1.1"200 OK 127.0.0.1:8888 
[2021-11-15 23:59:02,221]: 127.0.0.1:8888 "GET HTTP/1.1 index.html"404 Not Found 
[2021-11-15 23:59:02,221]: 127.0.0.1:8888 "GET /index.html HTTP/1.1"404 Not Found sec-ch-ua: 
[2021-11-15 23:59:02,336]: 127.0.0.1:8888 "GET HTTP/1.1 favicon.ico"404 Not Found 
[2021-11-15 23:59:02,336]: 127.0.0.1:8888 "GET /favicon.ico HTTP/1.1"404 Not Found sec-ch-ua: 
[2021-11-15 23:59:02,597]: 127.0.0.1:8888 "GET HTTP/1.1 game.txt"404 Not Found 
[2021-11-15 23:59:02,597]: 127.0.0.1:8888 "GET /game.txt HTTP/1.1"404 Not Found sec-ch-ua: 
[2021-11-15 23:59:02,967]: 127.0.0.1:8888 "GET /7333.jpg HTTP/1.1"200 OK 127.0.0.1:8888
[2021-11-15 23:59:02,967]: 127.0.0.1:8888 "GET HTTP/1.1 7333.jpg"200 OK 
[2021-11-15 23:59:03,442]: 127.0.0.1:8888 "GET HTTP/1.1 wireshark.odt"200 OK 
